it,bt,km,transmission,ownerNo,oem,model,modelYear,price_in_lakhs,Insurance Validity,Fuel Type,Seats,Safety_count,top_features_count,Color,No of Cylinder,Turbo Charger,Super Charger,City,Power,Torque
0,Hatchback,70000,Manual,2,Hyundai,Hyundai Grand i10,2014,3.88,third party insurance,Diesel,5,13,8,Others,3.0,no,no,Bangalore,70.0,160.0
0,Hatchback,68000,Manual,2,Hyundai,Hyundai i20,2013,4.9,comprehensive,Petrol,5,19,9,Silver,4.0,no,no,Bangalore,82.85,113.7
0,SUV,23017,Manual,1,Mahindra,Mahindra KUV 100,2016,4.94,third party,Diesel,6,20,9,Orange,3.0,yes,no,Bangalore,77.0,190.0
0,Hatchback,83000,Manual,2,Hyundai,Hyundai i20,2013,5.25,comprehensive,Diesel,5,20,9,Brown,4.0,no,no,Bangalore,88.76,219.6
0,SUV,92000,Automatic,2,BMW,BMW X3,2016,28.9,comprehensive,Diesel,5,40,9,White,4.0,twin,no,Bangalore,187.74,400.0
0,Hatchback,62139,Manual,1,Maruti,Maruti Wagon R,2018,5.5,comprehensive,Petrol,5,21,9,Red,3.0,no,no,Bangalore,67.04,90.0
0,Hatchback,74000,Manual,1,Hyundai,Hyundai i10,2013,3.65,comprehensive,LPG,5,14,8,Grey,4.0,no,no,Bangalore,68.05,99.04
0,Hatchback,26500,Automatic,2,Renault,Renault KWID,2016,4.2,comprehensive,Petrol,5,21,9,Red,3.0,no,no,Bangalore,67.0,91.0
0,Sedan,81716,Automatic,1,Volvo,Volvo S60,2017,18.95,comprehensive,Diesel,5,29,9,Silver,4.0,yes,no,Bangalore,190.0,400.0
0,Sedan,24000,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2018,59.9,comprehensive,Diesel,5,38,9,White,6.0,yes,no,Bangalore,254.8,620.0
0,SUV,10000,Automatic,1,Mahindra,Mahindra XUV300,2022,10.5,third party insurance,Petrol,5,27,9,White,3.0,yes,no,Bangalore,108.6,200.0
0,SUV,18000,Automatic,1,MG,MG Hector Plus,2021,20.75,comprehensive,Petrol,6,24,9,Black,4.0,yes,no,Bangalore,141.0,250.0
0,Hatchback,38197,Manual,1,Honda,Honda Brio,2013,3.94,third party,Petrol,5,16,9,Others,4.0,no,no,Bangalore,86.8,109.0
0,Hatchback,23000,Automatic,2,Maruti,Maruti Baleno,2017,7.25,comprehensive,Petrol,5,27,9,Grey,4.0,no,no,Bangalore,81.8,113.0
0,Hatchback,50000,Manual,1,Maruti,Maruti Alto K10,2013,2.4,third party insurance,Petrol,5,7,8,Red,3.0,no,no,Bangalore,67.1,90.0
0,SUV,10000,Automatic,1,Renault,Renault Kiger,2022,8.35,third party insurance,Petrol,5,25,9,Others,3.0,no,no,Bangalore,71.01,96.0
0,Hatchback,19000,Manual,1,Hyundai,Hyundai Grand i10,2019,6.95,third party insurance,Petrol,5,24,9,Blue,4.0,no,no,Bangalore,81.86,113.75
0,SUV,14000,Automatic,1,Kia,Kia Seltos,2020,17.25,comprehensive,Petrol,5,34,9,White,4.0,yes,no,Bangalore,138.08,242.0
